"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX1468309","GSM1966032: single H9 hESCs differentiated for 24 hours [H9.24h_073]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193471","","81.72","1","2558475","130482225","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468308","GSM1966031: single H9 hESCs differentiated for 24 hours [H9.24h_072]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193472","","19.25","1","530035","27031785","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468307","GSM1966030: single H9 hESCs differentiated for 24 hours [H9.24h_071]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193473","","81.2","1","2580277","131594127","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468306","GSM1966029: single H9 hESCs differentiated for 24 hours [H9.24h_070]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193474","","74.73","1","2339762","119327862","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468305","GSM1966028: single H9 hESCs differentiated for 24 hours [H9.24h_069]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193475","","86.16","1","2709253","138171903","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468304","GSM1966027: single H9 hESCs differentiated for 24 hours [H9.24h_068]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193476","","52.42","1","1520042","77522142","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468303","GSM1966026: single H9 hESCs differentiated for 24 hours [H9.24h_067]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193477","","33.95","1","939937","47936787","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468302","GSM1966025: single H9 hESCs differentiated for 24 hours [H9.24h_066]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193478","","85.16","1","2713385","138382635","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468301","GSM1966024: single H9 hESCs differentiated for 24 hours [H9.24h_065]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193479","","69.83","1","2217188","113076588","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468300","GSM1966023: single H9 hESCs differentiated for 24 hours [H9.24h_064]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193480","","58.52","1","1848810","94289310","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468299","GSM1966022: single H9 hESCs differentiated for 24 hours [H9.24h_063]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193481","","46.64","1","1482764","75620964","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468298","GSM1966021: single H9 hESCs differentiated for 24 hours [H9.24h_062]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193482","","57.04","1","1822770","92961270","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468297","GSM1966020: single H9 hESCs differentiated for 24 hours [H9.24h_061]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193483","","75.73","1","2388705","121823955","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468296","GSM1966019: single H9 hESCs differentiated for 24 hours [H9.24h_060]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193484","","91.84","1","2901758","147989658","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468295","GSM1966018: single H9 hESCs differentiated for 24 hours [H9.24h_059]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193485","","76.09","1","2427570","123806070","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468294","GSM1966017: single H9 hESCs differentiated for 24 hours [H9.24h_058]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193487","","10.05","1","273064","13926264","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468293","GSM1966016: single H9 hESCs differentiated for 24 hours [H9.24h_057]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193486","","70.89","1","2255496","115030296","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468292","GSM1966015: single H9 hESCs differentiated for 24 hours [H9.24h_056]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193490","","66.19","1","2051972","104650572","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468291","GSM1966014: single H9 hESCs differentiated for 24 hours [H9.24h_055]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193488","","91.01","1","2896919","147742869","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468290","GSM1966013: single H9 hESCs differentiated for 24 hours [H9.24h_054]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193325","","73.9","1","2345209","119605659","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468289","GSM1966012: single H9 hESCs differentiated for 24 hours [H9.24h_053]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193489","","60.3","1","1904185","97113435","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468288","GSM1966011: single H9 hESCs differentiated for 24 hours [H9.24h_052]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193491","","61.24","1","1930017","98430867","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468287","GSM1966010: single H9 hESCs differentiated for 24 hours [H9.24h_051]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193493","","51.67","1","1638145","83545395","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468286","GSM1966009: single H9 hESCs differentiated for 24 hours [H9.24h_050]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193492","","52.75","1","1664554","84892254","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468285","GSM1966008: single H9 hESCs differentiated for 24 hours [H9.24h_049]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193494","","11.84","1","365357","18633207","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468284","GSM1966007: single H9 hESCs differentiated for 24 hours [H9.24h_048]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193496","","74.68","1","2372515","120998265","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468283","GSM1966006: single H9 hESCs differentiated for 24 hours [H9.24h_047]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193495","","79.88","1","2542834","129684534","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468282","GSM1966005: single H9 hESCs differentiated for 24 hours [H9.24h_046]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193497","","67.6","1","2137844","109030044","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468280","GSM1966004: single H9 hESCs differentiated for 24 hours [H9.24h_045]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193499","","68.12","1","2152519","109778469","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468279","GSM1966003: single H9 hESCs differentiated for 24 hours [H9.24h_044]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193500","","56.85","1","1741607","88821957","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468278","GSM1966002: single H9 hESCs differentiated for 24 hours [H9.24h_043]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193502","","90.17","1","2870597","146400447","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468277","GSM1966001: single H9 hESCs differentiated for 24 hours [H9.24h_042]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193501","","62.82","1","1978862","100921962","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468276","GSM1966000: single H9 hESCs differentiated for 24 hours [H9.24h_041]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193503","","65.2","1","2042453","104165103","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468275","GSM1965999: single H9 hESCs differentiated for 24 hours [H9.24h_040]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193504","","47.94","1","1495448","76267848","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468274","GSM1965998: single H9 hESCs differentiated for 24 hours [H9.24h_039]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193506","","41.31","1","1298145","66205395","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468273","GSM1965997: single H9 hESCs differentiated for 24 hours [H9.24h_038]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193324","","48.8","1","1531531","78108081","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468272","GSM1965996: single H9 hESCs differentiated for 24 hours [H9.24h_037]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193505","","59.76","1","1882066","95985366","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468271","GSM1965995: single H9 hESCs differentiated for 24 hours [H9.24h_036]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193323","","61.83","1","1946909","99292359","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468270","GSM1965994: single H9 hESCs differentiated for 24 hours [H9.24h_035]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193507","","57.92","1","1818219","92729169","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468269","GSM1965993: single H9 hESCs differentiated for 24 hours [H9.24h_034]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193508","","44.85","1","1359160","69317160","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468268","GSM1965992: single H9 hESCs differentiated for 24 hours [H9.24h_033]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193509","","66.56","1","2101444","107173644","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468267","GSM1965991: single H9 hESCs differentiated for 24 hours [H9.24h_032]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193510","","52.99","1","1618293","82532943","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468266","GSM1965990: single H9 hESCs differentiated for 24 hours [H9.24h_031]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193511","","61.97","1","1949548","99426948","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468265","GSM1965989: single H9 hESCs differentiated for 24 hours [H9.24h_030]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193512","","59.77","1","1888749","96326199","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468264","GSM1965988: single H9 hESCs differentiated for 24 hours [H9.24h_029]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193513","","80.22","1","2554762","130292862","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468263","GSM1965987: single H9 hESCs differentiated for 24 hours [H9.24h_028]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193514","","52.58","1","1641453","83714103","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468262","GSM1965986: single H9 hESCs differentiated for 24 hours [H9.24h_027]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193515","","49.71","1","1566437","79888287","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468261","GSM1965985: single H9 hESCs differentiated for 24 hours [H9.24h_026]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193517","","47.06","1","1476031","75277581","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468260","GSM1965984: single H9 hESCs differentiated for 24 hours [H9.24h_025]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193516","","55.09","1","1738671","88672221","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468259","GSM1965983: single H9 hESCs differentiated for 24 hours [H9.24h_024]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193518","","62.92","1","1991318","101557218","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468258","GSM1965982: single H9 hESCs differentiated for 24 hours [H9.24h_023]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193519","","56.06","1","1765376","90034176","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468257","GSM1965981: single H9 hESCs differentiated for 24 hours [H9.24h_022]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193520","","63.23","1","1997473","101871123","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468256","GSM1965980: single H9 hESCs differentiated for 24 hours [H9.24h_021]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193521","","66.31","1","2105361","107373411","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468255","GSM1965979: single H9 hESCs differentiated for 24 hours [H9.24h_020]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193522","","52.07","1","1638400","83558400","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468254","GSM1965978: single H9 hESCs differentiated for 24 hours [H9.24h_019]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193523","","79.57","1","2532390","129151890","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468253","GSM1965977: single H9 hESCs differentiated for 24 hours [H9.24h_018]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193524","","69.25","1","2159870","110153370","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468252","GSM1965976: single H9 hESCs differentiated for 24 hours [H9.24h_017]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193525","","70.15","1","2219733","113206383","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468251","GSM1965975: single H9 hESCs differentiated for 24 hours [H9.24h_016]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193526","","45.24","1","1372345","69989595","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468250","GSM1965974: single H9 hESCs differentiated for 24 hours [H9.24h_015]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193527","","43.04","1","1361576","69440376","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468249","GSM1965973: single H9 hESCs differentiated for 24 hours [H9.24h_014]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193528","","52.85","1","1660171","84668721","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468248","GSM1965972: single H9 hESCs differentiated for 24 hours [H9.24h_013]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193529","","75.43","1","2395295","122160045","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468247","GSM1965971: single H9 hESCs differentiated for 12 hours [H9.12h_110]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193530","","87.89","1","2779071","141732621","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468246","GSM1965970: single H9 hESCs differentiated for 12 hours [H9.12h_109]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193531","","107.98","1","3453638","176135538","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468245","GSM1965969: single H9 hESCs differentiated for 12 hours [H9.12h_108]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193532","","102.91","1","3280735","167317485","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468244","GSM1965968: single H9 hESCs differentiated for 12 hours [H9.12h_107]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193533","","93.15","1","2967735","151354485","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468243","GSM1965967: single H9 hESCs differentiated for 12 hours [H9.12h_106]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193534","","67.56","1","2129029","108580479","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468242","GSM1965966: single H9 hESCs differentiated for 12 hours [H9.12h_105]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193535","","68.09","1","2163306","110328606","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468241","GSM1965965: single H9 hESCs differentiated for 12 hours [H9.12h_104]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193536","","77.37","1","2447781","124836831","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468240","GSM1965964: single H9 hESCs differentiated for 12 hours [H9.12h_103]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193537","","84.09","1","2669676","136153476","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468239","GSM1965963: single H9 hESCs differentiated for 12 hours [H9.12h_102]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193538","","79.31","1","2519119","128475069","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468238","GSM1965962: single H9 hESCs differentiated for 12 hours [H9.12h_101]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193539","","81.64","1","2594508","132319908","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468237","GSM1965961: single H9 hESCs differentiated for 12 hours [H9.12h_100]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193542","","74.45","1","2359822","120350922","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468236","GSM1965960: single H9 hESCs differentiated for 12 hours [H9.12h_099]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193540","","88.87","1","2824203","144034353","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
